prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
13_python_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,8959,2048,0.011243,0.055996,0.164337,97.9,0.008339,0.042118,0.111509,97.9
14_go_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,8840,2048,0.010061,0.047441,0.143628,97.3,0.008067,0.040559,0.120759,97.4
15_cpp_medium,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,3958,2048,0.012427,0.057880,0.190084,97.0,0.008648,0.039722,0.123992,97.3
16_java_medium,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,2400,2048,0.007872,0.038974,0.108879,98.1,0.006324,0.031224,0.092442,98.3
17_rust_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,9803,2048,0.013392,0.061462,0.230613,97.3,0.009479,0.044716,0.145005,97.7
18_typescript_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,10613,2048,0.008849,0.043915,0.133067,97.7,0.007178,0.035368,0.119984,98.1
19_cpp_large,gemma4-31b-bf16,ud-q4_k_xl,61413183648,18767224800,10737,2048,0.012335,0.053766,0.147312,96.4,0.009611,0.043179,0.111556,96.7
01_python_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,337,2048,0.002237,0.008174,0.022438,99.1,0.001691,0.007204,0.017660,99.1
02_rust_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,540,1656,0.001916,0.009957,0.028052,99.0,0.001487,0.007580,0.020173,99.1
03_go_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,396,2048,0.001748,0.008355,0.031355,99.2,0.001533,0.006858,0.024726,99.2
04_cpp_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,823,1651,0.002299,0.009770,0.040531,99.3,0.001788,0.007537,0.034830,99.5
05_js_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,555,2048,0.002707,0.014122,0.036589,98.7,0.002096,0.011222,0.033139,98.9
06_python2_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,582,1602,0.002140,0.011032,0.033910,99.1,0.001824,0.008221,0.029018,99.1
07_c_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,751,2048,0.001555,0.007037,0.030876,99.2,0.001248,0.005259,0.024363,99.4
08_java_small,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,840,1447,0.002313,0.009346,0.042291,98.6,0.002007,0.008593,0.033465,99.0
09_python_medium,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,2474,2048,0.002775,0.013671,0.042300,98.5,0.002318,0.011126,0.037944,98.9
10_go_medium,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,2135,2048,0.002837,0.013223,0.039392,98.5,0.002364,0.011385,0.034128,98.8
11_typescript_medium,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,2435,2048,0.003835,0.017315,0.051272,97.9,0.002234,0.010849,0.032276,98.4
12_rust_medium,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,2183,2048,0.003420,0.014707,0.050698,98.2,0.002738,0.012179,0.036912,98.2
13_python_large,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,8959,2048,0.003259,0.015768,0.046984,99.0,0.002460,0.010829,0.035932,98.9
14_go_large,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,8840,2048,0.003202,0.015469,0.039860,98.2,0.002250,0.010836,0.030874,98.5
15_cpp_medium,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,3958,2048,0.003814,0.016992,0.042392,98.3,0.002239,0.010857,0.032252,98.7
16_java_medium,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,2400,2048,0.002393,0.010908,0.027773,99.0,0.001926,0.008162,0.023995,98.9
17_rust_large,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,9803,2048,0.004084,0.017845,0.047841,98.4,0.002788,0.012247,0.036511,99.0
18_typescript_large,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,10613,2048,0.002645,0.013461,0.041987,98.7,0.001960,0.009725,0.033640,98.8
19_cpp_large,gemma4-31b-bf16,ud-q5_k_xl,61413183648,21890422752,10737,2048,0.003599,0.016499,0.043244,98.1,0.002387,0.011192,0.030569,98.8
01_python_small,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,337,2048,0.000495,0.002463,0.007815,99.1,0.000452,0.002217,0.006923,99.1
02_rust_small,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,540,1656,0.000487,0.002404,0.007630,99.8,0.000423,0.001711,0.007278,99.7
03_go_small,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,396,2048,0.000517,0.002086,0.009010,99.3,0.000421,0.001857,0.007566,99.4
04_cpp_small,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,823,1651,0.000580,0.002531,0.010760,99.6,0.000469,0.001999,0.009075,99.6
05_js_small,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,555,2048,0.000961,0.005003,0.015203,99.2,0.000578,0.002604,0.009674,99.4
06_python2_small,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,582,1602,0.000612,0.003202,0.010336,99.6,0.000509,0.002559,0.008820,99.6
07_c_small,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,751,2048,0.000417,0.001638,0.007548,99.6,0.000304,0.001392,0.005879,99.7
08_java_small,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,840,1447,0.000657,0.002773,0.011668,99.7,0.000563,0.002322,0.009774,99.7
09_python_medium,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,2474,2048,0.000870,0.004140,0.013821,99.4,0.000687,0.003207,0.011349,99.6
10_go_medium,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,2135,2048,0.000918,0.004108,0.014597,99.2,0.000703,0.003141,0.011229,99.3
11_typescript_medium,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,2435,2048,0.001086,0.005420,0.014719,99.0,0.000767,0.003720,0.012128,99.1
12_rust_medium,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,2183,2048,0.000996,0.004694,0.014152,99.3,0.000712,0.003104,0.011752,99.5
13_python_large,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,8959,2048,0.000781,0.003830,0.010654,99.5,0.000566,0.002715,0.009001,99.4
14_go_large,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,8840,2048,0.000887,0.004373,0.011599,99.4,0.000673,0.003180,0.008158,99.6
15_cpp_medium,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,3958,2048,0.000888,0.004637,0.013108,99.1,0.000590,0.002715,0.008997,99.1
16_java_medium,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,2400,2048,0.000978,0.004556,0.012620,99.4,0.000677,0.002911,0.008281,99.3
17_rust_large,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,9803,2048,0.001065,0.005060,0.014577,99.5,0.000592,0.002705,0.008794,99.7
18_typescript_large,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,10613,2048,0.000688,0.003718,0.010272,99.3,0.000498,0.002449,0.007252,99.2
19_cpp_large,gemma4-31b-bf16,ud-q6_k_xl,61413183648,27521331168,10737,2048,0.001027,0.005043,0.012103,98.9,0.000729,0.003927,0.009105,99.4
01_python_small,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,337,2048,0.000154,0.000700,0.002214,99.7,0.000136,0.000667,0.002140,99.7
02_rust_small,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,540,1656,0.000132,0.000581,0.001968,99.8,0.000091,0.000387,0.001464,99.9
03_go_small,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,396,2048,0.000082,0.000407,0.001773,99.5,0.000071,0.000339,0.001518,99.8
04_cpp_small,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,823,1651,0.000104,0.000503,0.002067,99.8,0.000077,0.000345,0.001316,99.9
05_js_small,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,555,2048,0.000142,0.000652,0.002286,99.9,0.000101,0.000499,0.001467,99.9
06_python2_small,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,582,1602,0.000132,0.000701,0.001978,99.8,0.000087,0.000431,0.001393,99.8
07_c_small,gemma4-31b-bf16,ud-q8_k_xl,61413183648,35020034016,751,2048,0.000123,0.000538,0.002408,99.9,0.000065,0.000300,0.000986,100.0
