prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
06_python2_small,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,582,1767,0.001500,0.007198,0.024334,99.4,0.001366,0.005893,0.019116,99.2
07_c_small,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,751,2048,0.002696,0.008534,0.026888,99.1,0.001336,0.006202,0.018586,99.0
08_java_small,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,840,1552,0.001443,0.007203,0.026194,99.0,0.001243,0.005711,0.022571,99.1
09_python_medium,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,2474,2048,0.001909,0.009854,0.025637,98.8,0.001389,0.006618,0.020378,99.0
10_go_medium,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,2135,2048,0.002011,0.009605,0.023974,98.9,0.001580,0.006853,0.021230,99.0
11_typescript_medium,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,2435,2048,0.003094,0.015778,0.042111,98.2,0.001981,0.010333,0.027499,98.0
12_rust_medium,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,2183,2048,0.001890,0.009722,0.027914,99.2,0.001418,0.007106,0.021646,99.3
13_python_large,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,8959,2048,0.002495,0.012313,0.038265,98.3,0.001619,0.007300,0.025472,98.8
14_go_large,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,8840,2048,0.002777,0.012623,0.035820,98.4,0.001669,0.007593,0.022573,98.9
15_cpp_medium,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,3958,2048,0.002719,0.012424,0.034546,98.8,0.001954,0.007252,0.023359,98.8
16_java_medium,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,2400,2048,0.001854,0.009223,0.025925,98.8,0.001294,0.006454,0.016669,99.3
17_rust_large,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,9803,2048,0.003045,0.013295,0.038132,98.3,0.001971,0.009019,0.024382,98.4
18_typescript_large,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,10613,2048,0.002042,0.010804,0.029606,98.6,0.001281,0.006160,0.019263,99.0
19_cpp_large,gemma4-26b-a4b-bf16,ud-q5_k_xl,50505130944,21272505344,10737,2048,0.003112,0.014070,0.039214,98.1,0.001808,0.007464,0.027665,98.7
01_python_small,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,337,2048,0.001056,0.003928,0.017031,99.1,0.000930,0.004225,0.015081,99.2
02_rust_small,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,540,2048,0.001186,0.005513,0.021057,98.9,0.000817,0.004194,0.011904,99.2
03_go_small,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,396,2048,0.000840,0.004061,0.014387,99.3,0.000713,0.003276,0.012222,99.3
04_cpp_small,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,823,2026,0.001021,0.005727,0.015938,99.4,0.000801,0.004222,0.012786,99.3
05_js_small,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,555,2048,0.001629,0.008539,0.022332,99.2,0.001380,0.006915,0.021670,99.2
06_python2_small,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,582,1767,0.001313,0.005478,0.022131,99.2,0.000775,0.003325,0.012466,99.4
07_c_small,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,751,2048,0.001700,0.005311,0.020224,99.3,0.000891,0.003831,0.014239,99.4
08_java_small,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,840,1552,0.000794,0.004179,0.013457,99.2,0.000691,0.003231,0.012963,99.3
09_python_medium,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,2474,2048,0.001261,0.006209,0.016445,99.2,0.000846,0.004086,0.011489,99.5
10_go_medium,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,2135,2048,0.001614,0.006737,0.023268,99.0,0.000919,0.004127,0.014055,99.1
11_typescript_medium,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,2435,2048,0.002327,0.010736,0.027817,98.4,0.001875,0.007447,0.022777,98.6
12_rust_medium,gemma4-26b-a4b-bf16,ud-q6_k_xl,50505130944,23825918976,2183,2048,0.001276,0.006221,0.018635,99.4,0.000818,0.003848,0.011630,99.5
